epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73985,1.58098,3.43967,1.59198,0.53675,0.0452,0.05592,0.02325,2.12709,3.86986,3.08023,0.0856,0.0016,0.0016
2,13.694,1.49426,2.02248,1.45763,0.10183,0.1169,0.05376,0.02619,2.99695,24.9603,5.45997,0.0702673,0.00326733,0.00326733
3,19.6852,1.51408,1.74057,1.50706,0.00179,0.16534,0.00212,0.00055,3.18486,inf,6.61772,0.054901,0.004901,0.004901
4,25.7557,1.47955,1.65849,1.45548,0.00126,0.08521,0.0008,0.00018,3.28175,inf,10.0173,0.039501,0.00650101,0.00650101
5,31.7783,1.49034,1.65309,1.4663,0.01925,0.22184,0.0139,0.00413,2.66663,22.6308,4.33819,0.0240674,0.00806736,0.00806736
6,37.8167,1.51653,1.59029,1.4674,0.00836,0.1427,0.01298,0.00451,2.81655,inf,3.77714,0.009505,0.009505,0.009505
7,43.7934,1.54197,1.58605,1.48969,0.24636,0.04078,0.02047,0.00996,2.7108,8.25233,3.26528,0.009406,0.009406,0.009406
8,49.7391,1.454,1.44972,1.43931,0.61116,0.15259,0.14871,0.07495,2.18391,5.17594,2.65359,0.009307,0.009307,0.009307
9,55.6975,1.43771,1.43067,1.429,0.29903,0.21024,0.11854,0.05108,2.12124,4.52244,2.31395,0.009208,0.009208,0.009208
10,61.6482,1.42286,1.37831,1.41648,0.29134,0.43866,0.29485,0.15967,1.92648,3.06784,2.13625,0.009109,0.009109,0.009109
11,67.6111,1.39413,1.38594,1.3985,0.52624,0.33699,0.36195,0.19434,1.84744,3.0815,2.03813,0.00901,0.00901,0.00901
12,73.5751,1.35277,1.32422,1.37541,0.58985,0.48828,0.51418,0.28456,1.69157,1.92992,1.81151,0.008911,0.008911,0.008911
13,79.5538,1.38333,1.32917,1.38308,0.71135,0.40532,0.50586,0.28374,1.61275,2.26503,1.62595,0.008812,0.008812,0.008812
14,85.488,1.32715,1.24089,1.34415,0.54251,0.57201,0.56756,0.31547,1.65606,1.95733,1.6722,0.008713,0.008713,0.008713
